state,x,y
Andhra Pradesh,-40,-160
Arunachal Pradesh,190,120
Assam,140,70
Bihar,60,50
Chhattisgarh,10,-20
Goa,-160,-150
Gujarat,-180,0
Haryana,-100,120
Himachal Pradesh,-60,170
Jharkhand,60,10
Karnataka,-120,-170
Kerala,-100,-240
Madhya Pradesh,-60,0
Maharashtra,-130,-75
Manipur,210,40
Meghalaya,150,55
Mizoram,200,10
Nagaland,220,70
Odisha,60,-40
Punjab,-106,150
Rajasthan,-150,70
Sikkim,90,90
Tamil Nadu,-70,-225
Telangana,-45,-100
Tripura,150,15
Uttar Pradesh,-15,70
Uttarakhand,-40,140
West Bengal,110,-10
